"id","length","diameter","height","volume","weight","shucked_weight","viscera_weight","shell_weight","rings","sex"
3564,33.67,25.9,7.25,4.19,18.078,9.065,3.678,4.144,7,*
3566,49.21,37.3,14.5,18.08,53.199,24.968,10.826,16.058,8,*
3569,42.48,32.63,9.84,9.34,29.06,11.81,3.574,11.396,7,*
3570,63.2,48.17,12.95,27.29,95.571,45.17,19.684,26.936,9,*
3575,38.33,29.01,10.36,7.56,26.107,11.033,6.164,7.666,8,*
3579,58.53,47.14,19.17,34.76,95.985,36.674,16.317,38.85,16,*
3580,51.8,38.85,12.43,16.69,56.151,22.274,12.018,17.612,9,*
3581,53.35,42.99,13.99,21.34,73.815,29.526,15.747,25.382,10,*
3583,67.86,61.12,20.72,58.08,160.114,67.754,39.005,42.994,11,*
3585,61.12,50.76,17.09,34.62,125.045,57.912,24.346,32.012,10,*
3586,50.76,37.81,15.02,19.18,65.734,20.668,16.835,22.792,10,*
3589,47.66,44.03,16.06,22.73,77.286,31.132,15.747,24.864,8,*
3590,44.03,32.12,9.84,9.51,31.857,14.4,7.718,9.635,7,*
3592,66.3,52.32,18.65,41.95,134.369,61.124,32.375,37.607,11,*
3593,32.12,24.86,10.88,5.9,29.889,12.225,6.734,8.599,6,*
3594,49.21,37.81,14.5,18.31,47.086,17.716,12.225,16.369,8,*
3595,32.63,25.9,9.32,5.24,21.031,6.371,3.833,8.236,11,*
3596,44.03,34.71,9.84,10.3,33.359,12.484,6.32,12.95,10,*
3597,65.27,51.28,19.68,43.65,120.746,55.53,21.911,16.835,10,*
3598,58.53,46.62,13.99,25.99,102.409,40.093,15.488,32.116,12,*
3600,54.91,44.03,13.47,22.07,74.281,21.911,17.198,26.418,13,*
3601,61.64,48.17,15.54,30.73,95.208,44.911,18.285,27.143,9,*
3602,41.96,31.6,10.88,9.67,37.555,16.213,7.304,12.95,10,*
3607,68.89,52.32,16.58,41.65,133.54,63.662,26.211,37.969,11,*
3608,36.26,26.42,8.81,5.75,22.222,10.36,4.817,6.216,13,*
3610,60.09,46.62,24.35,45.68,110.956,31.08,21.342,40.922,14,*
3611,47.14,36.26,12.95,15.2,46.465,16.421,10.567,13.831,16,*
3612,54.91,40.92,12.95,19.57,64.595,30.821,11.189,20.202,11,*
3617,75.11,58.02,19.17,55.7,185.651,90.443,38.021,45.066,11,*
3619,51.8,39.37,11.4,15.85,58.068,29.008,10.982,15.54,9,*
3622,62.16,46.62,15.54,29.84,89.769,38.28,20.254,26.418,12,*
3624,49.21,36.78,10.36,12.49,52.163,26.263,9.428,14.504,8,*
3628,63.71,49.21,17.09,35.16,105.983,50.816,20.254,31.443,12,*
3634,58.53,47.66,15.54,28.34,90.805,35.794,19.943,28.49,10,*
3635,60.61,43.51,16.06,28.05,101.994,45.791,22.326,29.785,13,*
3636,50.76,40.92,13.99,19.26,57.446,22.067,9.583,22.274,14,*
3640,66.3,51.8,17.61,41.04,157.213,71.795,33.774,42.372,11,*
3641,47.66,36.26,12.43,14.32,50.609,19.995,10.878,16.058,11,*
3643,68.89,55.94,20.2,51,182.75,88.112,37.451,48.692,11,*
3649,46.1,35.74,13.47,14.85,42.217,14.141,6.682,18.648,11,*
3650,36.26,26.42,6.73,4.49,18.544,7.304,3.989,6.216,10,*
3651,50.25,37.3,13.47,16.68,56.099,26.884,9.946,16.576,10,*
3662,58.02,45.58,16.06,28.56,84.02,38.177,18.441,24.346,11,*
3666,63.71,54.39,16.06,37.8,107.589,44.237,23.983,35.742,11,*
3674,59.57,44.03,15.54,27.14,90.805,47.138,18.648,23.621,8,*
3678,62.16,49.21,18.65,38.69,122.3,45.014,25.641,44.03,19,*
3681,62.16,49.21,16.06,32.59,117.949,52.007,23.776,32.116,9,*
3682,49.73,37.81,13.47,16.78,54.96,24.916,13.157,14.4,8,*
3685,38.85,29.01,8.29,6.04,23.414,10.878,4.869,6.734,6,*
3687,51.8,39.37,13.99,19.05,61.538,30.51,10.774,16.213,9,*
3690,65.27,50.76,17.61,38.39,121.678,54.442,28.283,35.12,11,*
3692,26.42,20.2,5.7,2.07,7.511,2.953,1.761,2.176,4,*
3694,49.21,38.85,12.43,15.66,58.327,26.159,12.484,19.166,10,*
3701,64.23,52.84,18.13,42.07,116.602,51.645,23.517,32.634,14,*
3702,27.45,21.76,6.22,2.44,9.997,4.403,2.279,3.108,5,*
3704,68.89,53.35,20.72,52.93,131.52,52.991,27.713,45.17,12,*
3705,64.23,52.84,18.13,41.34,119.192,45.325,23.465,41.44,12,*
3706,72.52,56.46,22.27,60.41,198.135,91.427,45.429,52.422,10,*
3708,17.09,12.43,3.11,0.44,2.227,0.725,0.518,0.518,3,*
3709,37.81,29.01,9.32,6.97,20.306,8.961,3.73,6.268,7,*
3711,42.99,32.63,10.36,9.87,37.762,18.285,8.236,9.842,8,*
3713,46.62,36.26,10.36,11.41,38.073,15.177,10.515,12.432,10,*
3725,57.5,44.55,15.54,26.7,81.119,35.742,18.182,25.589,9,*
3728,28.49,20.2,6.73,2.55,10.982,5.594,2.072,2.901,6,*
3730,64.23,48.69,15.54,32.47,135.612,60.813,45.636,33.67,9,*
3732,51.28,39.37,13.99,18.68,52.784,21.393,12.069,17.094,8,*
3739,64.23,50.25,18.13,39.07,131.676,55.012,31.857,38.332,11,*
3743,57.5,44.55,12.95,23.53,72.572,35.172,14.038,21.704,8,*
3755,57.5,44.55,14.5,23.86,79.409,35.328,17.094,23.828,9,*
3756,41.96,31.08,9.32,7.99,27.868,10.671,6.941,11.396,6,*
3762,47.66,38.85,12.43,15.53,47.708,18.389,11.396,15.54,7,*
3764,69.93,56.98,18.65,49.18,174.929,58.223,38.384,62.16,15,*
3768,63.2,50.76,17.61,36.79,121.989,58.586,24.709,30.562,15,*
3770,45.58,35.22,13.47,14.55,43.46,15.851,11.966,13.468,10,*
3785,50.25,38.85,11.4,15.51,48.07,20.875,9.324,15.436,8,*
3789,36.26,29.01,7.77,5.58,20.306,8.495,4.144,6.63,8,*
3790,47.66,34.19,15.54,16.72,55.167,21.601,18.7,12.95,10,*
3793,72,54.91,20.72,54.57,212.121,77.7,43.46,63.144,14,*
3796,50.76,37.3,11.4,14.68,51.852,16.68,11.085,20.202,17,*
3800,44.03,33.67,10.36,10.12,34.136,14.141,7.511,11.396,7,*
3804,41.96,32.12,9.32,8.19,32.323,14.297,6.216,9.013,8,*
3805,65.79,53.87,18.13,43.67,133.851,62.16,27.868,38.021,11,*
3809,45.07,34.71,11.4,11.89,39.679,16.11,6.993,13.986,12,*
3812,47.66,35.22,10.36,11.6,39.99,18.7,9.065,9.997,8,*
3815,78.74,62.68,22.27,74.32,225.123,82.984,50.919,66.926,13,*
3818,49.21,37.81,11.91,14.67,51.696,24.035,9.169,16.162,10,*
3819,50.25,37.81,10.88,13.53,53.924,20.202,12.743,18.855,8,*
3823,42.48,33.67,10.36,9.77,40.818,21.549,6.786,10.982,6,*
3830,45.58,33.67,11.4,11.94,51.437,26.729,12.38,11.137,8,*
3831,67.86,47.14,17.61,37.71,132.09,60.399,31.391,34.499,8,*
3832,51.8,41.44,12.95,18.34,61.901,27.972,13.209,17.198,9,*
3834,41.44,32.12,11.91,10.47,35.897,15.281,7.2,11.914,10,*
3846,61.12,51.8,20.72,43.59,122.973,42.683,28.024,38.332,16,*
3848,41.44,30.04,11.91,10.09,28.956,11.551,5.957,7.77,9,*
3851,68.89,54.39,17.09,43.11,138.617,57.135,37.037,36.26,18,*
3852,55.43,46.62,13.99,24.39,83.657,33.359,18.752,25.9,13,*
3853,60.09,44.03,15.02,27.31,85.988,39.264,16.628,26.677,11,*
3861,54.39,42.99,13.99,21.89,82.31,40.818,19.58,20.927,7,*
3862,61.12,48.69,18.65,36.36,116.395,43.564,29.06,37.296,13,*
3866,50.76,39.89,12.95,17.34,63.092,31.753,9.946,18.389,8,*
3872,59.05,49.21,20.2,39.27,106.656,48.019,19.736,31.598,18,*
3873,40.92,33.15,10.36,9.27,31.857,15.436,5.543,9.324,8,*
3878,63.2,50.25,15.54,32.22,128.516,62.419,30.199,31.961,12,*
3883,55.43,47.14,14.5,26.28,103.755,54.908,18.285,25.278,9,*
3888,43.51,33.15,11.91,11.39,42.372,21.29,9.687,10.878,8,*
3889,67.86,55.43,21.24,55.95,170.37,75.68,37.244,47.656,13,*
3890,45.58,35.22,13.99,14.94,41.181,15.592,9.79,13.986,8,*
3891,53.35,40.92,12.95,19.64,68.739,33.152,14.504,17.612,8,*
3896,54.39,42.48,13.99,21.7,73.401,30.355,15.799,24.346,11,*
3897,42.99,33.15,11.91,11.41,31.546,12.587,7.615,9.738,7,*
3898,61.64,49.21,17.09,34.44,118.933,45.998,22.17,38.332,10,*
3902,50.76,40.4,15.54,21.72,59.363,23.31,12.846,17.612,21,*
3905,25.9,18.65,6.22,2.04,7.563,2.901,1.761,2.331,5,*
3908,46.62,34.19,10.88,11.71,46.413,21.549,9.22,12.432,9,*
3910,50.25,38.85,15.02,18.78,60.969,24.709,11.966,19.684,13,*
3911,62.16,47.66,17.61,34.52,122.3,47.242,34.913,34.084,11,*
3917,40.4,30.04,10.36,8.53,29.474,13.002,6.579,8.392,7,*
3919,64.75,50.76,17.09,36.92,116.757,49.417,24.501,32.997,9,*
3922,47.66,35.74,11.4,12.43,38.902,15.799,6.009,12.95,7,*
3924,55.94,42.99,13.99,23.26,73.452,33.1,18.026,19.166,9,*
3926,43.51,33.67,11.91,11.77,36.674,16.835,6.63,10.878,8,*
3928,55.94,42.99,17.61,28.81,91.064,35.12,21.549,26.418,10,*
3932,54.39,44.03,19.68,32.8,90.339,47.915,17.871,20.616,9,*
3933,31.08,22.79,8.29,3.88,13.002,5.698,2.745,4.04,6,*
3938,68.89,52.32,17.09,41.07,139.756,62.005,32.893,37.296,9,*
3941,54.91,44.55,13.99,23.43,64.802,25.382,15.074,22.119,10,*
3944,52.32,40.92,12.95,19.07,65.786,30.044,16.11,18.13,9,*
3945,48.69,36.78,15.02,17.64,46.465,16.162,10.567,12.743,7,*
3948,59.05,47.14,18.13,33.99,105.672,49.78,22.222,30.044,9,*
3951,69.93,59.05,23.31,62.07,164.413,76.56,31.028,45.066,10,*
3954,67.34,54.39,19.68,48.08,167.055,80.497,38.177,41.077,11,*
3957,46.1,36.26,14.5,16.27,61.176,20.979,16.369,19.684,14,*
3960,61.12,47.66,13.47,26.31,114.167,47.138,21.29,34.188,12,*
3961,67.34,53.87,19.68,47.61,139.29,53.768,31.702,46.257,16,*
3968,62.16,49.21,16.06,33.88,125.356,67.651,17.56,33.204,10,*
3969,62.16,47.66,15.54,29.77,129.189,55.271,28.335,30.044,9,*
3971,61.12,46.62,12.95,24.42,89.096,45.273,15.695,25.382,9,*
3973,70.45,52.32,17.61,43.16,139.187,68.065,30.769,36.778,12,*
3976,30.56,22.79,8.81,4.15,13.313,6.061,2.797,3.781,5,*
3979,42.99,34.71,10.36,10.29,37.089,17.508,6.941,10.878,7,*
3982,61.64,47.14,16.58,31.84,107.744,46.827,27.506,29.837,9,*
3983,65.27,54.91,18.13,44.84,146.439,69.101,30.51,36.83,13,*
3985,59.57,46.62,17.61,32.89,96.503,37.089,22.222,26.936,13,*
3999,60.61,47.14,15.54,28.84,102.253,45.118,21.497,32.116,11,*
4001,64.75,51.8,17.61,39.26,113.805,48.122,22.792,36.674,9,*
4005,49.73,40.92,15.54,21.67,70.603,22.222,14.556,25.848,18,*
4006,42.48,32.12,9.32,8.62,35.12,16.058,7.2,9.324,7,*
4012,59.57,45.07,13.47,24.33,83.398,32.686,22.326,25.382,10,*
4014,66.82,52.84,16.06,37.55,159.44,66.356,37.141,44.548,11,*
4015,64.75,43.51,17.09,32.51,109.764,37.089,17.094,46.102,21,*
4018,59.57,48.17,20.2,39.2,103.237,43.201,25.589,48.692,8,*
4021,52.84,42.99,14.5,22.75,84.797,31.339,22.326,24.346,16,*
4022,41.96,32.12,6.73,6.25,33.204,16.317,6.838,9.117,6,*
4024,76.66,61.64,19.68,61.56,240.715,119.088,52.991,52.318,11,*
4026,52.84,38.85,10.36,14.31,59.933,24.657,12.691,18.13,7,*
4030,51.8,40.92,14.5,20.69,64.387,30.303,12.484,20.202,9,*
4034,61.12,46.62,15.02,28.22,105.879,44.341,27.765,27.454,10,*
4036,60.61,41.96,15.54,26.78,130.173,45.066,20.927,33.67,15,*
4037,59.05,45.07,13.47,23.63,78.063,36.156,18.182,20.098,10,*
4038,58.02,48.17,15.02,28.69,91.945,34.654,22.792,27.92,9,*
4048,31.6,22.79,7.25,3.47,14.608,6.423,3.212,3.833,5,*
4053,34.71,22.79,7.25,3.74,17.612,7.874,3.781,5.18,6,*
4059,42.99,32.12,9.84,9.44,35.224,18.752,5.905,8.599,6,*
4060,60.61,46.62,15.54,29.03,97.177,48.381,21.031,23.31,7,*
4061,61.64,48.17,14.5,28.62,115.307,53.613,25.278,31.598,12,*
4062,48.69,37.81,10.88,13.32,43.564,16.887,10.723,14.504,9,*
4068,54.39,39.37,12.95,18.74,67.34,31.391,16.058,16.472,7,*
4069,52.84,41.44,12.43,17.87,72.572,35.949,11.448,20.202,10,*
4072,55.43,41.44,13.99,21.25,80.29,38.125,21.549,21.29,8,*
4073,62.16,49.21,13.99,29.01,149.236,60.969,19.788,32.893,9,*
