"id","length","diameter","height","volume","weight","shucked_weight","viscera_weight","shell_weight","rings","sex"
3,51.8,36.78,14.5,18.22,54.701,22.015,15.436,14.504,9,"M"
7,34.19,25.9,9.84,5.86,21.601,10.567,4.092,5.387,7,"J"
8,73.56,58.53,21.24,59.68,227.713,104.843,54.131,56.721,11,"M"
10,84.43,67.34,25.9,95.85,233.618,92.256,43.512,82.621,14,"F"
13,50.76,39.89,12.43,16.33,61.228,28.076,11.655,18.389,9,"J"
14,60.61,46.62,13.99,26.31,88.578,39.316,19.373,26.936,9,"J"
22,74.59,60.09,20.2,59.93,217.871,106.345,49.728,55.685,10,"F"
27,58.02,44.03,14.5,23.54,95.053,41.492,20.461,26.936,10,"J"
33,45.07,34.71,10.36,10.74,34.136,13.364,7.252,11.396,7,"J"
34,47.66,34.71,11.4,12.69,45.998,23.31,7.718,11.396,8,"J"
35,72,56.46,19.17,54.07,162.807,68.842,39.731,46.672,13,"M"
41,76.66,59.57,22.79,67.04,208.443,92.359,54.545,48.796,12,"F"
43,55.94,43.51,12.43,19.82,84.071,40.611,15.074,23.155,9,"M"
48,56.98,44.55,18.65,32.8,85.625,45.636,16.472,23.31,10,"M"
51,53.35,42.99,13.47,20.59,79.15,28.594,20.306,25.9,13,"F"
55,53.87,44.03,15.54,26.14,84.227,39.886,20.875,23.828,10,"F"
58,58.53,45.58,18.13,31.82,90.495,42.89,21.756,21.756,11,"J"
60,44.03,33.15,10.36,10.42,31.65,13.054,6.216,10.982,7,"J"
61,64.23,48.69,14.5,32,88.733,37.244,16.576,30.562,9,"J"
66,58.53,44.03,16.58,28.33,97.643,36.208,22.637,28.49,17,"M"
67,51.8,40.4,15.02,20.65,67.444,28.283,13.675,22.792,11,"M"
68,64.23,49.73,17.09,35.73,108.055,50.091,22.896,32.116,10,"F"
70,35.74,27.97,11.4,7.58,22.119,8.495,5.646,7.252,7,"J"
72,47.14,36.26,14.5,16.81,53.717,22.896,13.105,13.986,10,"F"
75,60.61,49.21,19.17,37.43,99.301,42.942,16.731,34.188,11,"F"
78,58.02,46.1,17.09,29.14,106.553,46.983,26.211,28.49,11,"J"
85,63.71,46.62,15.54,30.06,124.113,73.245,21.704,25.952,7,"M"
90,63.2,47.66,17.61,35.55,132.401,42.476,26.625,38.332,17,"J"
94,61.64,44.55,21.76,40.37,157.938,67.651,41.026,42.476,11,"F"
96,66.3,52.84,19.68,46.96,167.107,64.387,37.4,48.692,14,"M"
98,56.98,47.66,18.13,32.46,90.028,32.686,18.907,33.152,10,"M"
100,63.71,49.21,18.13,38.56,126.806,62.523,27.04,32.22,9,"M"
101,58.53,44.03,10.36,18.06,74.022,31.65,17.198,18.648,12,"M"
102,66.3,53.35,17.09,40.69,141.828,65.475,35.379,37.089,10,"M"
104,64.75,50.76,16.06,34.85,137.788,69.153,26.832,34.188,10,"F"
107,32.63,24.35,7.77,4.08,15.385,6.061,3.885,4.403,6,"J"
108,35.74,26.42,10.36,6.41,20.409,7.356,5.284,6.216,9,"F"
110,24.86,19.17,6.22,2.01,6.786,3.056,0.052,2.072,4,"J"
119,43.51,35.22,11.91,12.71,43.667,18.13,9.635,13.986,8,"M"
124,50.25,36.78,12.43,15.74,56.669,22.274,16.731,14.504,10,"M"
130,58.02,46.62,16.58,30.07,106.035,44.444,27.765,31.08,10,"F"
133,41.44,33.15,9.84,9.6,36.053,20.098,5.491,9.013,6,"J"
135,71.48,52.32,20.72,52.39,193.939,92.515,41.595,49.728,10,"M"
136,59.05,45.58,9.84,17.29,85.677,35.172,22.947,24.346,8,"M"
137,67.34,52.84,18.13,43.66,149.806,67.185,28.024,46.62,12,"M"
141,61.64,49.21,16.58,32.71,136.493,42.269,24.242,60.088,21,"M"
145,70.45,56.46,19.17,50.38,173.219,73.297,37.71,49.728,11,"M"
150,65.27,49.73,15.02,32.05,104.791,43.875,24.553,31.598,12,"M"
154,39.89,30.04,9.32,7.83,24.035,8.858,5.128,8.288,7,"J"
155,67.86,54.39,18.65,44.26,145.247,64.646,30.407,37.814,13,"M"
160,47.14,36.26,13.47,14.82,48.951,22.274,7.718,15.54,9,"J"
162,47.66,37.81,11.91,13.89,46.465,17.094,8.599,17.612,14,"F"
163,56.46,44.55,15.54,26.45,75.473,31.287,13.623,26.366,10,"J"
164,62.16,47.66,16.06,31.92,100.855,44.237,21.186,31.08,8,"F"
166,71.48,55.94,19.17,52.68,162.807,71.847,32.945,48.692,15,"F"
167,58.53,46.1,14.5,26.94,86.61,42.062,16.628,23.258,9,"M"
168,65.27,49.21,15.02,30.89,109.868,53.509,22.74,29.008,10,"J"
169,51.28,41.44,13.99,19.6,63.196,28.179,14.867,14.918,7,"M"
170,53.87,39.37,14.5,20.98,54.39,18.389,11.914,19.166,11,"J"
172,74.59,59.57,20.2,59.31,222.792,111.318,39.575,60.606,10,"F"
174,56.46,45.58,17.09,30.31,77.078,29.785,21.134,25.9,15,"M"
175,71.48,55.94,20.2,51.15,129.759,75.628,41.181,47.863,12,"F"
178,37.81,30.56,8.29,6.32,26.47,10.049,4.455,10.36,7,"M"
182,43.51,33.15,13.47,12.61,42.839,17.042,10.982,12.328,10,"F"
183,58.02,44.55,15.54,27.1,90.598,46.931,16.68,22.792,8,"F"
184,51.8,39.89,13.99,18.88,66.563,33.1,13.364,15.903,7,"M"
188,48.69,38.85,13.47,16.42,60.036,22.222,16.99,20.202,13,"M"
191,25.9,18.13,6.22,1.92,6.579,2.849,0.829,2.072,4,"J"
193,49.21,38.85,12.95,17.88,59.933,28.749,8.806,16.058,10,"F"
210,66.82,51.8,19.68,46.18,127.324,54.286,28.801,40.922,17,"M"
213,59.05,45.07,17.61,31.43,87.853,41.44,17.198,25.9,9,"J"
216,38.85,30.04,14.5,11.31,31.08,14.504,6.475,8.547,8,"J"
218,39.89,29.53,9.32,7.37,25.693,9.687,6.838,7.252,6,"J"
220,33.67,25.9,8.29,4.76,18.234,6.164,3.678,6.527,7,"J"
221,59.05,45.58,13.47,24.17,79.409,35.949,18.493,20.927,10,"J"
222,39.37,28.49,11.4,8.83,26.522,11.396,5.543,7.822,6,"J"
226,51.28,41.44,16.06,22.59,66.77,25.071,13.727,21.238,17,"F"
229,49.21,38.85,11.4,14.69,51.178,21.86,11.292,16.006,8,"J"
230,36.26,26.94,7.77,5.01,18.648,9.324,2.538,5.698,5,"J"
232,60.61,47.66,14.5,27.7,79.099,33.774,15.851,27.454,9,"J"
233,35.22,25.9,7.77,4.75,18.493,6.889,4.714,4.662,5,"J"
238,60.61,46.62,15.54,30.49,108.469,44.703,28.594,32.634,14,"M"
239,55.94,44.55,17.61,29.42,86.61,38.591,18.803,24.864,9,"J"
242,44.03,33.67,13.99,14.11,39.575,15.177,8.184,14.504,12,"F"
243,56.98,48.17,15.54,28.95,96.97,49.832,18.026,25.227,9,"J"
244,65.79,51.8,18.65,43.52,130.173,55.84,30.251,36.26,10,"F"
246,62.16,49.73,15.54,32.58,106.604,42.321,28.024,30.562,16,"F"
255,64.23,49.73,15.54,32.69,114.115,51.437,25.175,31.598,10,"M"
258,48.69,36.78,12.43,15.51,50.919,18.285,11.655,13.727,9,"J"
259,63.2,50.25,18.13,37.94,128.93,56.358,30.769,35.742,12,"M"
265,60.09,46.1,15.02,26.93,91.997,42.476,18.803,25.123,8,"F"
271,47.14,38.85,12.43,15.2,51.489,24.398,10.93,13.416,6,"J"
275,42.99,31.6,10.88,9.89,37.348,12.432,8.495,10.36,10,"F"
278,45.07,33.15,8.29,8.14,34.447,15.385,6.579,10.878,9,"J"
279,66.82,52.84,16.06,39.44,116.964,51.955,24.864,35.431,10,"F"
280,64.75,49.21,16.58,35.09,112.354,51.852,24.398,32.168,10,"M"
284,50.25,36.78,12.43,15.06,52.681,21.756,12.639,13.986,9,"J"
